Month,Day,Pitfall,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Fisher_alpha,Berger-Parker,Chao-1
January,Day1,P1,5,46,0.3308,0.6692,1.28,0.7194,1.141,0.7372,1.045,1.427,0.4783,5
January,Day1,P2,5,55,0.3507,0.6493,1.269,0.7111,1.145,0.6742,0.9982,1.336,0.5273,5
January,Day1,P3,1,1,1,0,0,1,0,1,0,0,1,1
January,Day1,P4,5,93,0.3433,0.6567,1.271,0.7126,1.188,0.5185,0.8825,1.131,0.5161,5
January,Day1,P5,6,188,0.477,0.523,0.9899,0.4485,0.9424,0.4376,0.9548,1.182,0.6383,6
January,Day1,P6,7,93,0.5482,0.4518,0.9448,0.3675,0.8556,0.7259,1.324,1.755,0.7204,8.5
January,Day1,P7,5,57,0.6614,0.3386,0.7495,0.4232,0.6507,0.6623,0.9894,1.32,0.807,5
January,Day1,P8,3,41,0.6478,0.3522,0.6029,0.6091,0.5335,0.4685,0.5386,0.7452,0.7805,3
January,Day1,P9,5,45,0.4894,0.5106,0.9432,0.5136,0.8264,0.7454,1.051,1.439,0.6444,5.5
January,Day1,P10,7,55,0.5464,0.4536,1.017,0.3952,0.8773,0.9439,1.497,2.127,0.7273,10
January,Day1,P11,5,15,0.2444,0.7556,1.49,0.8872,1.163,1.291,1.477,2.626,0.3333,5
January,Day1,P12,5,49,0.586,0.414,0.8892,0.4866,0.771,0.7143,1.028,1.394,0.7551,5
January,Day2,P1,5,31,0.5297,0.4703,0.972,0.5287,0.8083,0.898,1.165,1.687,0.7097,5
January,Day2,P2,4,18,0.4012,0.5988,1.087,0.7414,0.8784,0.9428,1.038,1.594,0.5556,4
January,Day2,P3,6,35,0.298,0.702,1.41,0.6827,1.211,1.014,1.406,2.084,0.4,6
January,Day2,P4,3,33,0.4509,0.5491,0.9021,0.8216,0.8006,0.5222,0.572,0.8018,0.5758,3
January,Day2,P5,7,97,0.4622,0.5378,0.9808,0.3809,0.8981,0.7107,1.312,1.731,0.5876,8
January,Day2,P6,3,24,0.5035,0.4965,0.7924,0.7362,0.6784,0.6124,0.6293,0.905,0.625,3
January,Day2,P7,5,27,0.3745,0.6255,1.239,0.6905,1.037,0.9623,1.214,1.805,0.5556,5
January,Day2,P8,5,38,0.5665,0.4335,0.8975,0.4907,0.7606,0.8111,1.1,1.541,0.7368,5
January,Day2,P9,3,8,0.5938,0.4063,0.7356,0.6956,0.5032,1.061,0.9618,1.743,0.75,4
January,Day2,P10,5,13,0.4201,0.5799,1.179,0.65,0.8657,1.387,1.559,2.975,0.6154,6.5
January,Day2,P11,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,5.453,0.5,3.5
January,Day2,P12,2,41,0.9524,0.04759,0.1147,0.5607,0.09057,0.3123,0.2693,0.44,0.9756,2
January,Day3,P1,3,18,0.4074,0.5926,0.995,0.9016,0.8297,0.7071,0.692,1.028,0.5556,3
January,Day3,P2,5,22,0.4504,0.5496,1.097,0.5988,0.8822,1.066,1.294,2.019,0.6364,5.5
January,Day3,P3,3,6,0.3889,0.6111,1.011,0.9165,0.6824,1.225,1.116,2.388,0.5,3
January,Day3,P4,3,31,0.7211,0.2789,0.5225,0.5621,0.4404,0.5388,0.5824,0.82,0.8387,3
January,Day3,P5,5,24,0.309,0.691,1.33,0.7565,1.108,1.021,1.259,1.922,0.4167,5
January,Day3,P6,5,22,0.3802,0.6198,1.146,0.6288,0.9348,1.066,1.294,2.019,0.4545,8
January,Day3,P7,2,8,0.5313,0.4688,0.6616,0.9689,0.5032,0.7071,0.4809,0.8559,0.625,2
January,Day3,P8,3,10,0.54,0.46,0.8018,0.7432,0.5886,0.9487,0.8686,1.453,0.7,3
January,Day3,P9,4,15,0.4222,0.5778,1.078,0.7344,0.8408,1.033,1.108,1.785,0.6,4
January,Day3,P10,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,1.235,0.8,2
January,Day3,P11,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,2.622,0.6667,2
January,Day3,P12,3,19,0.651,0.349,0.633,0.6278,0.5078,0.6882,0.6792,1.002,0.7895,3
February,Day1,P1,5,13,0.503,0.497,1.044,0.568,0.75,1.387,1.559,2.975,0.6923,11
February,Day1,P2,3,12,0.4306,0.5694,0.9184,0.8351,0.7184,0.866,0.8049,1.284,0.5,3
February,Day1,P3,2,13,0.503,0.497,0.6902,0.997,0.5729,0.5547,0.3899,0.6601,0.5385,2
February,Day1,P4,4,9,0.3086,0.6914,1.273,0.8929,0.9153,1.333,1.365,2.759,0.4444,4
February,Day1,P5,3,5,0.36,0.64,1.055,0.9572,0.6802,1.342,1.243,3.167,0.4,3
February,Day1,P6,4,4,0.25,0.75,1.386,1,0.7945,2,2.164,0,0.25,10
February,Day1,P7,4,23,0.3913,0.6087,1.069,0.7278,0.8961,0.8341,0.9568,1.399,0.4783,4
February,Day1,P8,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,1.592,0.75,2
February,Day1,P9,3,7,0.551,0.449,0.7963,0.7391,0.534,1.134,1.028,1.989,0.7143,4
February,Day1,P10,3,12,0.3472,0.6528,1.078,0.9792,0.8525,0.866,0.8049,1.284,0.4167,3
February,Day1,P11,3,14,0.4388,0.5612,0.8982,0.8184,0.7205,0.8018,0.7578,1.171,0.5,3
February,Day1,P12,4,26,0.4349,0.5651,1.062,0.7233,0.8968,0.7845,0.9208,1.32,0.6154,4
February,Day2,P1,3,9,0.5062,0.4938,0.8487,0.7789,0.6144,1,0.9102,1.576,0.6667,3
February,Day2,P2,4,15,0.4044,0.5956,1.063,0.7234,0.8338,1.033,1.108,1.785,0.5333,5
February,Day2,P3,3,9,0.4074,0.5926,0.965,0.8749,0.7162,1,0.9102,1.576,0.4444,3
February,Day2,P4,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,5.453,0.5,3.5
February,Day2,P5,3,6,0.5,0.5,0.8676,0.7937,0.5669,1.225,1.116,2.388,0.6667,4
February,Day2,P6,3,14,0.4286,0.5714,0.9557,0.8668,0.7654,0.8018,0.7578,1.171,0.5714,3
February,Day2,P7,2,19,0.6676,0.3324,0.5147,0.8365,0.4349,0.4588,0.3396,0.5639,0.7895,2
February,Day2,P8,2,6,0.7222,0.2778,0.4506,0.7846,0.2986,0.8165,0.5581,1.051,0.8333,2
February,Day2,P9,3,8,0.4688,0.5313,0.9003,0.8201,0.6405,1.061,0.9618,1.743,0.625,3
February,Day2,P10,2,7,0.5918,0.4082,0.5983,0.9095,0.4349,0.7559,0.5139,0.9354,0.7143,2
February,Day2,P11,2,22,0.8347,0.1653,0.3046,0.6781,0.2474,0.4264,0.3235,0.5345,0.9091,2
February,Day2,P12,3,19,0.5789,0.4211,0.7534,0.7081,0.6139,0.6882,0.6792,1.002,0.7368,3
February,Day3,P1,6,29,0.4602,0.5398,1.151,0.5271,0.9432,1.114,1.485,2.297,0.6552,6.333
February,Day3,P2,2,9,0.5556,0.4444,0.6365,0.9449,0.4923,0.6667,0.4551,0.7972,0.6667,2
February,Day3,P3,3,6,0.3889,0.6111,1.011,0.9165,0.6824,1.225,1.116,2.388,0.5,3
February,Day3,P4,1,3,1,0,0,1,0,0.5774,0,0.5252,1,1
February,Day3,P5,3,3,0.3333,0.6667,1.099,1,0.5973,1.732,1.82,0,0.3333,6
February,Day3,P6,1,7,1,0,0,1,0,0.378,0,0.3193,1,1
February,Day3,P7,3,14,0.4286,0.5714,0.9557,0.8668,0.7654,0.8018,0.7578,1.171,0.5714,3
February,Day3,P8,3,15,0.4133,0.5867,0.9701,0.8794,0.7876,0.7746,0.7385,1.128,0.5333,3
February,Day3,P9,3,29,0.4625,0.5375,0.9124,0.8301,0.7986,0.5571,0.5939,0.8404,0.6207,3
February,Day3,P10,4,9,0.4815,0.5185,1.003,0.6814,0.6914,1.333,1.365,2.759,0.6667,7
February,Day3,P11,4,13,0.3728,0.6272,1.157,0.7951,0.8879,1.109,1.17,1.974,0.5385,4
February,Day3,P12,4,15,0.4933,0.5067,0.9533,0.6485,0.7335,1.033,1.108,1.785,0.6667,5
March,Day1,P1,2,15,0.68,0.32,0.5004,0.8247,0.408,0.5164,0.3693,0.6198,0.8,2
March,Day1,P2,3,21,0.619,0.381,0.668,0.6501,0.5491,0.6547,0.6569,0.9578,0.7619,3
March,Day1,P3,1,1,1,0,0,1,0,1,0,0,1,1
March,Day1,P4,3,43,0.5392,0.4608,0.7994,0.7414,0.7185,0.4575,0.5317,0.734,0.6977,3
March,Day1,P5,2,12,0.5556,0.4444,0.6365,0.9449,0.517,0.5774,0.4024,0.6853,0.6667,2
March,Day1,P6,3,7,0.551,0.449,0.7963,0.7391,0.534,1.134,1.028,1.989,0.7143,4
March,Day1,P7,4,89,0.7384,0.2616,0.5489,0.4328,0.4975,0.424,0.6684,0.8605,0.8539,4
March,Day1,P8,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,1.235,0.8,2
March,Day1,P9,5,14,0.2857,0.7143,1.39,0.8033,1.066,1.336,1.516,2.782,0.3571,5.5
March,Day1,P10,3,9,0.4074,0.5926,0.995,0.9016,0.7364,1,0.9102,1.576,0.5556,3
March,Day1,P11,4,8,0.2813,0.7188,1.321,0.9367,0.9283,1.414,1.443,3.184,0.375,4
March,Day1,P12,5,40,0.4188,0.5813,1.13,0.6193,0.9863,0.7906,1.084,1.508,0.6,5
March,Day2,P1,3,8,0.4688,0.5313,0.9003,0.8201,0.6405,1.061,0.9618,1.743,0.625,3
March,Day2,P2,1,4,1,0,0,1,0,0.5,0,0.4279,1,1
March,Day2,P3,3,21,0.746,0.254,0.501,0.5501,0.3948,0.6547,0.6569,0.9578,0.8571,3
March,Day2,P4,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,5.453,0.5,3.5
March,Day2,P5,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,1.051,0.6667,2
March,Day2,P6,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,1.592,0.75,2
March,Day2,P7,2,30,0.7689,0.2311,0.3927,0.7405,0.3406,0.3651,0.294,0.4824,0.8667,2
March,Day2,P8,3,8,0.5938,0.4063,0.7356,0.6956,0.5032,1.061,0.9618,1.743,0.75,4
March,Day2,P9,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,2.622,0.6667,2
March,Day2,P10,3,9,0.6296,0.3704,0.6837,0.6604,0.4752,1,0.9102,1.576,0.7778,4
March,Day2,P11,3,8,0.4063,0.5938,0.9743,0.8831,0.7043,1.061,0.9618,1.743,0.5,3
March,Day2,P12,4,10,0.34,0.66,1.194,0.8247,0.8748,1.265,1.303,2.471,0.4,5
March,Day3,P1,2,6,0.5,0.5,0.6931,1,0.4993,0.8165,0.5581,1.051,0.5,2
March,Day3,P2,3,3,0.3333,0.6667,1.099,1,0.5973,1.732,1.82,0,0.3333,6
March,Day3,P3,4,14,0.6327,0.3673,0.755,0.5319,0.5492,1.069,1.137,1.871,0.7857,7
March,Day3,P4,3,6,0.5,0.5,0.8676,0.7937,0.5669,1.225,1.116,2.388,0.6667,4
March,Day3,P5,2,7,0.5918,0.4082,0.5983,0.9095,0.4349,0.7559,0.5139,0.9354,0.7143,2
March,Day3,P6,1,5,1,0,0,1,0,0.4472,0,0.3759,1,1
March,Day3,P7,3,38,0.8061,0.1939,0.4095,0.502,0.3421,0.4867,0.5498,0.764,0.8947,3
March,Day3,P8,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,0,0.5,3
March,Day3,P9,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,2.622,0.6667,2
March,Day3,P10,3,19,0.8061,0.1939,0.4095,0.502,0.3071,0.6882,0.6792,1.002,0.8947,4
March,Day3,P11,4,8,0.3438,0.6563,1.213,0.8409,0.8417,1.414,1.443,3.184,0.5,4.5
March,Day3,P12,3,5,0.36,0.64,1.055,0.9572,0.6802,1.342,1.243,3.167,0.4,3
April,Day1,P1,3,25,0.7824,0.2176,0.4433,0.5193,0.3536,0.6,0.6213,0.8901,0.88,3
April,Day1,P2,3,6,0.5,0.5,0.8676,0.7937,0.5669,1.225,1.116,2.388,0.6667,4
April,Day1,P3,3,36,0.6775,0.3225,0.5723,0.5908,0.4968,0.5,0.5581,0.778,0.8056,3
April,Day1,P4,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,1.235,0.6,2
April,Day1,P5,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,1.235,0.8,2
April,Day1,P6,2,6,0.7222,0.2778,0.4506,0.7846,0.2986,0.8165,0.5581,1.051,0.8333,2
April,Day1,P7,4,7,0.3061,0.6939,1.277,0.8965,0.8629,1.512,1.542,3.878,0.4286,4.5
April,Day1,P8,1,2,1,0,0,1,0,0.7071,0,0.7959,1,1
April,Day1,P9,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,1.592,0.75,2
April,Day1,P10,4,12,0.375,0.625,1.127,0.7715,0.8525,1.155,1.207,2.101,0.5,5
April,Day1,P11,1,1,1,0,0,1,0,1,0,0,1,1
April,Day1,P12,1,4,1,0,0,1,0,0.5,0,0.4279,1,1
April,Day2,P1,2,10,0.58,0.42,0.6109,0.921,0.4787,0.6325,0.4343,0.7517,0.7,2
April,Day2,P2,2,9,0.5556,0.4444,0.6365,0.9449,0.4923,0.6667,0.4551,0.7972,0.6667,2
April,Day2,P3,2,33,0.9412,0.05877,0.1358,0.5727,0.106,0.3482,0.286,0.4685,0.9697,2
April,Day2,P4,1,1,1,0,0,1,0,1,0,0,1,1
April,Day2,P5,0,0,0,0,0,0,0,0,0,0,0,0
April,Day2,P6,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,2.622,0.6667,2
April,Day2,P7,3,6,0.5,0.5,0.8676,0.7937,0.5669,1.225,1.116,2.388,0.6667,4
April,Day2,P8,1,1,1,0,0,1,0,1,0,0,1,1
April,Day2,P9,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,1.235,0.8,2
April,Day2,P10,2,7,0.7551,0.2449,0.4101,0.7535,0.278,0.7559,0.5139,0.9354,0.8571,2
April,Day2,P11,3,10,0.54,0.46,0.8018,0.7432,0.5886,0.9487,0.8686,1.453,0.7,3
April,Day2,P12,1,13,1,0,0,1,0,0.2774,0,0.2525,1,1
April,Day3,P1,2,16,0.5703,0.4297,0.6211,0.9305,0.5239,0.5,0.3607,0.6033,0.6875,2
April,Day3,P2,2,15,0.52,0.48,0.673,0.9801,0.5679,0.5164,0.3693,0.6198,0.6,2
April,Day3,P3,2,25,0.6352,0.3648,0.5511,0.8676,0.4834,0.4,0.3107,0.5116,0.76,2
April,Day3,P4,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,5.453,0.5,3.5
April,Day3,P5,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,0,0.5,3
April,Day3,P6,1,3,1,0,0,1,0,0.5774,0,0.5252,1,1
April,Day3,P7,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,5.453,0.5,3.5
April,Day3,P8,3,14,0.6429,0.3571,0.656,0.6423,0.4997,0.8018,0.7578,1.171,0.7857,3
April,Day3,P9,2,12,0.8472,0.1528,0.2868,0.6661,0.2071,0.5774,0.4024,0.6853,0.9167,2
April,Day3,P10,2,14,0.5408,0.4592,0.6518,0.9595,0.543,0.5345,0.3789,0.6385,0.6429,2
April,Day3,P11,0,0,0,0,0,0,0,0,0,0,0,0
April,Day3,P12,2,10,0.82,0.18,0.3251,0.6921,0.2303,0.6325,0.4343,0.7517,0.9,2
