,MONTHS,stations,pH,Electrical Conductivity,TDS,Suspended Solid,Turbidity,Dissovled Oxygen,B.O.D,Alkalinity,Nitrate,Ammonium-N,Phosphate,Calcium,Magnesium,Iron,Zinc,Copper,Manganese,Nickel,Lead,Cadmium,AMO,METRO,SMX,TRM,CIPRO,OFLOX
Aug1,Aug,ST1,-0.82227,-0.34094,-0.34384,-0.56441,-0.46016,0.58511,-0.0685,-0.4207,-0.55046,-0.40796,-0.6,-0.78722,0.8197,-0.39841,-0.25763,-0.3175,-0.57291,-1.04249,-0.86057,-0.20121,-0.47093,0.64478,-0.32672,-0.38156,-0.0492,0.54096
Sep1,Sep,ST1,1.4369,0.48281,0.54,-0.65881,-0.44046,0.39007,-0.57434,-0.4801,-0.49896,0.21789,-0.5774,-0.78722,0.8197,-0.65321,-0.16715,-0.1651,-0.50841,-0.85624,-0.31943,-0.20121,-0.53245,0.7985,0.04074,-0.38156,0.14242,3.09613
Oct1,Oct,ST1,-1.08806,-0.61553,-0.60602,4.78473,5.07657,0.71514,-0.00527,-0.24252,-0.37019,3.19557,0.36871,-0.53804,-0.5497,0.09779,-0.25763,-0.52069,-0.50841,-0.17332,-0.49981,-0.20121,-0.53007,0.36081,-0.1719,-0.38156,0.07366,1.98188
Nov1,Nov,ST1,-2.81566,-0.34094,-0.31951,-0.56441,-0.53898,-0.32506,-1.33311,-0.53949,0.15859,-0.69155,-0.56609,-0.29193,-1.2344,1.21087,0.37576,-0.52069,-0.39015,0.19919,0.58248,-0.20121,-0.38583,1.39482,-0.27491,-0.38156,0.52016,1.30101
Dec1,Dec,ST1,0.90533,-0.47824,-0.47898,-0.69028,-0.75572,1.62531,0.50057,-0.53949,1.37583,-0.69155,-0.56157,-0.53804,1.5044,0.12461,-0.4386,-0.2667,-0.48691,-1.22874,-0.49981,-0.20121,-0.72668,-0.87661,2.69482,-0.38156,0.66802,0.21696
Jan1,Jan,ST1,0.90533,-0.47824,-0.47898,-0.69028,-0.75572,1.62531,0.12119,-0.53949,-0.34101,-0.69155,-0.56609,-0.29193,-1.2344,0.01732,-0.52909,-0.0127,-0.50841,0.07502,-0.68019,-0.20121,-0.72668,-0.87661,0.71805,-0.38156,0.36897,0.33086
Feb1,Feb,ST1,0.24087,-0.20365,-0.2087,-0.56441,-0.69661,-0.26005,-0.63757,-0.4207,-0.37706,-0.47642,-0.51975,-0.04582,-0.89558,0.01732,-0.52909,0.3429,-0.50841,0.07502,-0.68019,-0.20121,-0.54833,-0.5214,0.01684,-0.38156,-0.37646,-0.76281
Mar1,Mar,ST1,0.37376,-0.34094,-0.34384,-0.53295,-0.6769,-0.06501,-0.7008,-0.4801,-0.57965,-0.44708,-0.46323,-0.04582,-0.5497,0.01732,-0.61957,0.3429,-0.46541,0.07502,-0.31943,-0.20121,0.13781,0.47607,0.04286,-0.38156,0.04234,0.42771
Apr1,Apr,ST1,0.90533,2.6795,2.62931,-0.43855,-0.40105,0.26005,-1.5228,-0.53949,-0.7891,-0.40796,-0.46323,-0.04582,-0.89558,-0.43864,-0.37828,0.1905,-0.56216,0.32335,-0.49981,-0.20121,-0.28829,-0.37467,-0.21736,-0.38156,-0.39591,-0.85131
May1,May,ST1,0.77244,0.62011,0.60216,-0.34415,-0.36164,0.26005,-0.57434,-0.4207,0.58094,-0.37863,-0.31629,-0.53804,-0.89558,-0.57275,-0.55925,0.2413,-0.41165,-0.29748,0.22172,-0.20121,-0.45669,-0.47004,-0.42072,0.46466,-0.60307,-0.58059
Jun1,Jun,ST1,0.77244,0.48281,0.46702,-0.1239,0.03243,-0.13002,-0.0685,-0.4801,-0.72386,-0.33951,-0.21455,0.20028,-0.89558,-0.5191,-0.37828,0.59689,-0.45466,0.38544,0.22172,-0.20121,-0.28717,-0.6672,-0.25911,-0.38156,-0.38955,-0.28437
Jul1,Jul,ST1,-0.82227,-0.67045,-0.66818,-0.56441,-0.46016,0.58511,-0.57434,-0.4207,-0.55218,-0.29551,-0.14673,-0.29193,-0.5497,-0.43864,-0.37828,0.1905,-0.56216,0.32335,0.4021,-0.20121,-0.30648,-0.512,-0.21249,-0.38156,-0.47796,-0.58052
Aug2,Aug,ST2,-0.82227,-0.2723,-0.27627,-0.47002,-0.26313,0.58511,0.05796,-0.24252,-0.57106,-0.28573,-0.4734,-0.78722,0.8197,-0.72026,-0.10682,0.3429,-0.52991,-0.42165,-0.49981,-0.20121,-0.61307,-0.71671,-0.40679,-0.38156,-0.69503,-0.22228
Sep2,Sep,ST2,0.50665,-0.47824,-0.46276,-0.37562,-0.16461,1.10521,0.12119,-0.4207,-0.38908,2.159,-0.48358,-0.29193,0.8197,-0.80073,0.07415,0.95249,-0.39015,-0.6079,0.04134,-0.20121,-0.42876,-0.59534,-0.21748,-0.38156,-0.53885,0.33081
Oct2,Oct,ST2,-0.82227,-0.61553,-0.60602,1.66964,1.90428,1.43027,0.24765,-0.30192,-0.41483,2.5795,0.29297,-0.53804,-0.5497,-0.06314,-0.10682,-0.41909,-0.2719,-0.6079,-0.68019,-0.20121,-0.47529,-0.56708,-0.294,-0.38156,-0.28657,0.12852
Nov2,Nov,ST2,-2.41699,-0.34094,-0.31951,-0.47002,-0.34194,0,-0.7008,-0.4207,0.26504,-0.54487,-0.51184,-0.78722,-1.2344,0.2453,0.04399,-0.41909,-0.28265,0.57169,-0.31943,-0.20121,-0.4963,0.82207,-0.33521,-0.38156,0.2051,0.67564
Dec2,Dec,ST2,0.63955,-0.54688,-0.54655,-0.62734,-0.61779,1.69032,0.05796,-0.30192,1.2299,-0.54487,-0.50392,-0.53804,1.85028,-0.81414,-0.31795,-0.1651,-0.45466,-0.66999,-0.13904,-0.20121,4.87834,-0.87661,5.72029,-0.38156,3.87876,3.29242
Jan2,Jan,ST2,0.63955,-0.54688,-0.54655,-0.62734,-0.61779,1.69032,1.00642,-0.30192,-0.48694,-0.54487,-0.51184,-0.78722,-1.2344,-0.30453,0.01382,-0.1651,-0.2719,-0.29748,-0.49981,-0.20121,-0.72668,-0.87661,-0.00826,-0.38156,-0.27449,-0.03997
Feb2,Feb,ST2,0.24087,-0.61553,-0.61412,-0.56441,-0.44046,0.32506,-0.7008,-0.36131,-0.70498,-0.39819,-0.41802,-0.53804,-0.5497,-0.30453,0.22496,-0.1651,-0.2074,0.1371,0.22172,-0.20121,-0.33782,-0.51015,-0.24361,-0.38156,-0.53201,-0.74197
Mar2,Mar,ST2,-0.15781,-0.54688,-0.54655,-0.53295,-0.46016,-0.06501,-0.57434,-0.36131,-0.71528,-0.18305,-0.40671,-0.29193,-1.2344,-0.18384,0.04399,-0.2159,-0.2074,0.1371,0.22172,-0.20121,0.30685,0.6874,0.0178,0.26721,-0.16185,-0.20553
Apr2,Apr,ST2,0.37376,-0.47824,-0.47898,0.03343,0.03243,0.58511,-1.20665,-0.4207,-0.78395,-0.77956,-0.38411,-0.53804,-1.2344,-0.25089,0.10431,-0.41909,-0.36865,-0.35957,-0.13904,-0.20121,-0.5177,-0.59571,-0.27057,-0.38156,-0.50364,-0.94816
May2,May,ST2,0.50665,-0.40959,-0.41141,0.09636,0.09154,-0.32506,-0.19496,-0.4207,0.59811,-0.30529,-0.28237,0.20028,-0.89558,-0.39841,0.04399,0.2921,-0.2074,0.1371,0.22172,-0.20121,-0.53296,-0.62463,-0.44664,0.55374,-0.75634,-0.63489
Jun2,Jun,ST2,0.37376,-0.62926,-0.62764,0.28516,0.36739,-0.19504,-0.13173,-0.4207,-0.67236,-0.51064,0.04543,-0.04582,-0.5497,-0.11678,0.31544,-0.1143,-0.16439,0.44752,0.4021,-0.20121,-0.28425,-0.31699,-0.30633,-0.38156,-0.45659,-0.39291
Jul2,Jul,ST2,-0.82227,-0.65672,-0.65467,-0.37562,-0.26313,0.58511,-0.38465,-0.24252,-0.53501,-0.39819,-0.14673,-0.29193,-1.2344,-0.14361,0.16463,-0.62229,-0.30415,-0.17332,0.4021,-0.20121,-0.4398,-0.61135,-0.32786,-0.38156,-0.69192,-0.63058
Aug3,Aug,ST3,-0.95517,-0.47824,-0.47898,-0.50148,-0.36164,-1.5603,-0.00527,-0.24252,-0.58823,0.13477,-0.46888,-0.78722,1.16558,0.9963,0.76787,0.95249,-0.2074,0.26127,0.58248,-0.20121,-0.34767,-0.78802,-0.4673,-0.38156,-0.56595,-0.67413
Sep3,Sep,ST3,0.24087,-0.54688,-0.53439,-0.50148,-0.28283,-1.49529,0.69026,-0.36131,-0.52814,1.45492,-0.45193,-0.78722,2.53498,0.7415,1.28061,1.81608,-0.19664,-0.04915,1.12363,-0.20121,-0.30336,-0.72954,-0.47997,2.90601,-0.37701,-0.26293
Oct3,Oct,ST3,-0.82227,-0.61553,-0.60602,1.54378,1.74665,1.0402,0.12119,-0.30192,-0.42685,2.5795,0.22289,-1.03332,1.16558,-1.39079,-1.49426,-1.68908,-0.63742,-1.53916,-1.40172,-0.20121,-0.43712,-0.61148,-0.47155,-0.38156,-0.47841,-0.16655
Nov3,Nov,ST3,-2.28409,-0.40959,-0.39114,-0.43855,-0.36164,1.0402,0.69026,-0.36131,0.29079,-0.63288,-0.48697,-0.78722,0.135,-1.09576,-0.92119,-1.68908,-0.69117,-0.85624,-1.40172,-0.20121,2.30109,3.99117,-0.60492,-0.38156,0.33625,0.2179
Dec3,Dec,ST3,0.63955,-0.54688,-0.54655,-0.59588,-0.75572,0.78015,-0.0685,-0.36131,1.23677,-0.63288,-0.47793,-0.53804,-0.20382,-1.20305,-1.04183,-1.02869,-0.73417,-1.22874,-0.86057,-0.20121,0.58379,-0.87661,-0.60492,-0.38156,0.07363,0.12548
Jan3,Jan,ST3,0.63955,-0.54688,-0.54655,-0.59588,-0.75572,0.78015,-0.51111,-0.36131,-0.48007,-0.63288,-0.48697,-0.78722,0.135,-1.22987,-1.49426,-1.53668,-0.63742,-1.29082,-1.22134,-0.20121,0.58379,0.86269,-0.21735,-0.38156,-0.03905,0.34976
Feb3,Feb,ST3,0.10798,-0.47824,-0.47898,-0.53295,-0.57838,-0.45509,-0.51111,-0.36131,-0.51441,-0.68177,-0.44175,0.20028,-0.89558,-1.22987,-1.49426,-1.53668,-0.63742,-1.29082,-1.22134,-0.20121,0.58379,0.86269,-0.21735,-0.38156,-0.03905,-1.15373
Mar3,Mar,ST3,-0.55649,-0.47824,-0.47898,-0.43855,-0.59809,-0.32506,-0.19496,-0.4207,-0.47492,-0.64266,-0.41689,-0.04582,-0.20382,-1.36397,-1.49426,-1.73988,-0.59441,-1.29082,-1.22134,-0.20121,-0.15049,-0.02377,-0.33954,0.73189,-0.49599,-0.92748
Apr3,Apr,ST3,0.37376,0.00229,,-0.24976,-0.22372,-0.78015,-0.44788,0.23262,-0.8698,-0.83335,-0.33889,0.20028,-0.23206,-1.40421,-1.4641,-1.53668,-0.73417,-1.29082,-1.40172,-0.20121,-0.54681,-0.65998,-0.40684,-0.38156,-0.7641,-1.13386
May3,May,ST3,0.37376,-0.54688,-0.54655,-0.28122,-0.47987,0.78015,-0.57434,1.77685,-0.15731,-0.30529,-0.53105,-0.53804,-0.89558,-1.36397,-1.49426,-1.73988,-0.59441,-1.04249,-1.5821,-0.20121,-0.59396,-0.34772,-0.51413,0.3459,-0.88816,-0.99245
Jun3,Jun,ST3,0.10798,-0.34094,-0.34384,-0.28122,-0.1055,-0.45509,-0.63757,-0.30192,-0.58652,-0.73067,0.2715,2.1722,0.48088,-1.20305,-1.49426,-1.33348,-0.55141,-0.91832,-1.22134,-0.20121,-0.53161,-0.50797,-0.42093,-0.38156,-0.82741,-0.882
Jul3,Jul,ST3,-0.95517,0.07093,0.06159,0.53688,0.64324,0.58511,-0.13173,-0.12374,-0.39766,-0.40308,0.26019,0.9386,0.135,-1.36397,-1.40377,-1.18108,-0.68042,-1.22874,-1.04095,-0.20121,-0.60954,-0.68798,-0.44131,0.6057,-0.62721,-1.11495
Aug4,Aug,ST4,-0.02492,3.91514,3.84559,0.53688,0.64324,-2.01539,1.19611,1.12352,-0.53329,0.63349,2.70852,0.9386,0.135,1.03653,0.94884,1.05409,-0.2504,0.44752,-0.13904,-0.20121,-0.41883,-0.80916,-0.49782,-0.38156,-0.77608,-0.86307
Sep4,Sep,ST4,2.23426,1.71845,1.82926,0.59981,0.84028,-1.5603,-0.0685,4.74651,-0.42857,1.83141,1.013,3.65191,2.19616,0.79514,1.3711,1.96847,-0.2504,0.1371,0.76287,-0.20121,-0.42999,-0.74954,-0.49157,5.36383,-0.47321,-0.39847
Oct4,Oct,ST4,-0.68938,-0.54688,-0.53439,0.19076,0.26887,-0.65012,-0.38465,-0.24252,-0.23456,1.99765,-0.25638,-0.53804,-0.5497,1.46567,1.28061,1.00329,1.28693,1.19252,2.3863,-0.20121,-0.02391,-0.46449,-0.42117,-0.38156,-0.28983,0.42778
Nov4,Nov,ST4,-1.75252,-0.135,-0.10464,-0.53295,-0.47987,-0.45509,1.82841,-0.4207,0.62386,-0.37863,-0.44062,-0.53804,0.495,1.59978,1.58223,1.00329,0.7494,1.93753,2.20592,5.701,-0.44209,2.14084,-0.35488,-0.38156,-0.07989,2.04521
Dec4,Dec,ST4,0.24087,-0.54688,-0.54655,-0.59588,-0.55868,0.13002,-0.7008,0.52959,0.91229,-0.37863,-0.36941,-0.78722,0.135,1.5059,0.49641,0.59689,-0.17514,-0.04915,0.4021,3.55474,2.65225,-0.87661,-0.01963,-0.38156,0.98253,0.3832
Jan4,Jan,ST4,0.90533,-0.34094,-0.34384,-0.62734,-0.71631,-0.19504,0.05796,0.4702,-0.42857,-0.21239,-0.24846,0.44639,-0.20382,1.55955,0.91867,1.40968,1.28693,1.87544,1.66478,-0.20121,1.15038,1.89973,1.00564,-0.38156,3.86256,1.04249
Feb4,Feb,ST4,0.37376,-0.2723,-0.27627,-0.62734,-0.71631,-0.32506,-0.13173,0.4702,-0.54875,-0.20261,-0.21342,0.44639,-0.20382,1.55955,0.91867,1.40968,1.28693,1.87544,1.66478,-0.20121,-0.01108,0.81605,0.27706,-0.38156,1.75613,-0.58065
Mar4,Mar,ST4,0.77244,0.07093,0.06159,0.53688,0.26887,-0.78015,-0.7008,0.05444,0.65133,-0.19283,0.48626,0.9386,0.48088,1.61319,1.06948,0.85089,3.00701,1.87544,1.12363,-0.20121,0.78456,1.64658,0.77397,1.07335,1.89883,0.35087
Apr4,Apr,ST4,0.77244,2.54221,2.49416,1.13473,0.60383,-1.62531,-0.51111,0.17323,0.65133,-0.18305,0.48626,1.18778,1.16558,1.5059,2.12514,1.25728,1.71695,1.50294,0.76287,-0.20121,0.26068,0.33135,0.04286,-0.38156,-0.26381,-0.55666
May4,May,ST4,0.90533,2.06169,2.02116,1.26059,0.72206,-1.62531,3.72532,-0.12374,1.54237,-0.16349,1.51488,0.9386,0.48088,1.23769,1.19013,0.85089,2.25447,1.68919,0.58248,-0.20121,0.26072,0.65023,0.04075,0.8952,-0.35446,-0.72132
Jun4,Jun,ST4,0.50665,0.7574,0.73731,1.44938,1.03732,-2.14541,3.28271,3.67743,2.70982,-0.13415,2.18178,3.4058,1.85028,1.17064,1.06948,0.85089,3.00701,1.87544,1.12363,-0.20121,0.23919,0.32845,0.32385,-0.38156,-0.13887,0.30672
Jul4,Jul,ST4,-0.15781,1.03199,1.00759,1.92137,1.41168,-1.36526,1.82841,0.4702,4.42666,-0.11949,4.89462,0.9386,0.48088,1.45226,2.3966,1.00329,2.57699,1.25461,2.02554,-0.20121,0.23542,0.00831,-0.00438,0.91004,-0.1414,-0.2682
