Species,Month,Day,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
Paltothrens tarsatus,January,Day 1,2,2,0,2,0,1,2,1,1,1,0,0
Camponotus vividus,January,Day 1,2,4,1,9,7,14,0,0,2,3,4,3
Camponotus maculatus,January,Day 1,8,10,0,18,1,2,2,0,1,0,1,4
Monomorium species,January,Day 1,12,10,0,16,48,7,4,8,12,5,2,2
Morphospecies E,January,Day 1,22,29,0,48,120,67,46,32,29,40,3,37
Paratrechina species cf. albibes,January,Day 1,0,0,0,0,2,0,0,0,0,0,0,0
Odontomachus troglodytes,January,Day 1,0,0,0,0,10,1,3,0,0,4,5,3
Lepisiota capensis,January,Day 1,0,0,0,0,0,1,0,0,0,0,0,0
pheidole species,January,Day 1,0,0,0,0,0,0,0,0,0,1,0,0
pheidole welgelegenensis,January,Day 1,0,0,0,0,0,0,0,0,0,1,0,0
Morphospecies M,January,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,January,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,January,Day 2,0,0,0,0,1,0,0,2,0,0,0,0
Camponotus vividus,January,Day 2,2,1,2,3,33,1,2,2,0,2,1,0
Camponotus maculatus,January,Day 2,1,2,4,0,1,0,2,1,0,1,1,0
Monomorium species,January,Day 2,4,10,14,19,57,15,6,5,1,1,0,0
Morphospecies E,January,Day 2,22,5,12,11,2,8,15,28,6,8,2,40
Paratrechina species cf. albibes,January,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,January,Day 2,2,0,2,0,2,0,2,0,1,1,0,0
Lepisiota capensis,January,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,January,Day 2,0,0,1,0,1,0,0,0,0,0,0,1
pheidole welgelegenensis,January,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,January,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,January,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,January,Day 3,0,1,0,0,1,0,0,0,0,0,0,1
Camponotus vividus,January,Day 3,0,0,1,0,10,1,0,0,2,0,0,0
Camponotus maculatus,January,Day 3,4,2,0,1,2,1,0,2,1,0,0,0
Monomorium species,January,Day 3,4,4,2,26,8,10,3,1,3,0,2,3
Morphospecies E,January,Day 3,10,14,3,4,3,9,5,7,9,4,0,15
Paratrechina species cf. albibes,January,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,January,Day 3,0,0,0,0,0,1,0,0,0,1,0,0
Lepisiota capensis,January,Day 3,0,0,0,0,0,0,0,0,0,0,1,0
pheidole species,January,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,January,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,January,Day 3,0,1,0,0,0,0,0,0,0,0,0,0
Morphospecies N,January,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,February,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,February,Day 1,1,0,0,1,0,1,0,0,1,0,1,3
Camponotus maculatus,February,Day 1,1,0,0,0,0,0,0,0,1,4,6,2
Monomorium species,February,Day 1,0,5,7,2,1,1,2,1,5,5,7,16
Morphospecies E,February,Day 1,9,6,6,4,2,1,9,3,0,0,0,5
Paratrechina species cf. albibes,February,Day 1,0,1,0,0,0,0,11,0,0,0,0,0
Odontomachus troglodytes,February,Day 1,1,0,0,2,2,1,1,0,0,3,0,0
Lepisiota capensis,February,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,February,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,February,Day 1,1,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,February,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,February,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,February,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,February,Day 2,0,1,0,0,1,0,0,0,2,0,0,0
Camponotus maculatus,February,Day 2,1,1,0,1,1,0,0,1,1,0,0,0
Monomorium species,February,Day 2,2,5,0,2,4,4,4,5,5,2,2,3
Morphospecies E,February,Day 2,6,8,4,0,0,8,15,0,0,5,20,14
Paratrechina species cf. albibes,February,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,February,Day 2,0,0,0,0,0,0,0,0,0,0,0,2
Lepisiota capensis,February,Day 2,0,0,0,1,0,2,0,0,0,0,0,0
pheidole species,February,Day 2,0,0,1,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,February,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,February,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,February,Day 2,0,0,4,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,February,Day 3,1,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,February,Day 3,1,0,1,3,1,0,0,0,0,1,2,3
Camponotus maculatus,February,Day 3,4,0,0,0,0,0,2,2,7,1,0,0
Monomorium species,February,Day 3,2,3,2,0,1,0,8,8,18,6,3,1
Morphospecies E,February,Day 3,19,6,3,0,1,7,4,5,4,0,7,10
Paratrechina species cf. albibes,February,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,February,Day 3,0,0,0,0,0,0,0,0,0,1,1,0
Lepisiota capensis,February,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,February,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,February,Day 3,0,0,0,0,0,0,0,0,0,0,0,1
Morphospecies M,February,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,February,Day 3,2,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,March,Day 1,0,1,0,4,0,1,1,0,1,2,2,2
Camponotus vividus,March,Day 1,0,0,0,0,0,0,6,0,2,2,1,5
Camponotus maculatus,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,1
Monomorium species,March,Day 1,3,4,1,30,8,1,6,0,5,5,3,8
Morphospecies E,March,Day 1,12,16,0,9,4,5,76,4,5,0,2,24
Paratrechina species cf. albibes,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,March,Day 1,0,0,0,0,0,0,0,1,1,0,0,0
Lepisiota capensis,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,March,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,March,Day 2,0,0,1,1,0,0,0,0,0,1,0,0
Camponotus vividus,March,Day 2,0,0,0,0,0,0,4,1,1,0,1,1
Camponotus maculatus,March,Day 2,1,0,0,0,0,1,0,0,0,0,0,0
Monomorium species,March,Day 2,5,0,18,2,2,0,0,1,2,1,4,4
Morphospecies E,March,Day 2,2,4,2,1,4,3,26,6,0,7,3,4
Paratrechina species cf. albibes,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Lepisiota capensis,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,1
pheidole species,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,March,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,March,Day 3,0,1,1,1,0,0,2,1,2,1,2,2
Camponotus maculatus,March,Day 3,0,0,0,1,0,0,0,1,0,0,1,0
Monomorium species,March,Day 3,3,1,11,0,2,0,2,0,0,1,1,2
Morphospecies E,March,Day 3,3,1,1,4,5,5,34,0,0,17,4,1
Paratrechina species cf. albibes,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,March,Day 3,0,0,1,0,0,0,0,0,1,0,0,0
Lepisiota capensis,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,April,Day 1,0,1,1,0,0,0,3,0,0,1,0,0
Camponotus maculatus,April,Day 1,0,0,0,0,0,0,0,0,0,1,0,0
Monomorium species,April,Day 1,2,4,29,3,4,1,1,0,1,4,1,0
Morphospecies E,April,Day 1,22,1,6,2,0,5,2,0,3,6,0,4
Paratrechina species cf. albibes,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 1,1,0,0,0,0,0,1,2,0,0,0,0
Lepisiota capensis,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 1,0,0,0,0,1,0,0,0,0,0,0,0
Morphospecies N,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 2,0,0,0,0,0,0,0,0,0,0,1,0
Camponotus vividus,April,Day 2,0,0,0,0,0,0,1,0,0,0,2,0
Camponotus maculatus,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium species,April,Day 2,3,3,32,0,0,0,1,1,1,1,0,0
Morphospecies E,April,Day 2,7,6,1,1,0,2,4,0,4,6,7,13
Paratrechina species cf. albibes,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 2,0,0,0,0,0,1,0,0,0,0,0,0
Lepisiota capensis,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,April,Day 3,0,0,0,0,1,0,2,0,0,0,0,0
Camponotus maculatus,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium species,April,Day 3,5,9,19,2,1,3,1,11,1,9,0,1
Morphospecies E,April,Day 3,11,6,6,1,0,0,1,2,11,5,0,9
Paratrechina species cf. albibes,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 3,0,0,0,0,0,0,0,1,0,0,0,0
Lepisiota capensis,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 3,0,0,0,1,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
